Akha,,,,,,,,,,
Sr No.,Song_Name,Album_Name,Audio_File,Cover_File,Singer,Lyrics,Music_Director,Composer,Record_Label/Company,Langauage
1,Teri gail khada su,Bewafa Darling,Audio1.wav,Cover9.png,Shubh Panchal,Rohit Sangwan,,Shubh Panchal,STAGE,Haryanvi
2,Taara,Bewafa Darling,Audio2.wav,Cover9.png,Shubh Panchal,Rohit Sangwan,,Shubh Panchal,STAGE,Haryanvi
3,Rab Milgya,Bewafa Darling,Audio3.wav,Cover9.png,-,-,-,,STAGE,Haryanvi
4,Gailyan Khdya Sun,Bewafa Darling,Audio4.wav,Cover9.png,-,-,-,,STAGE,Haryanvi
5,Tu Hai Phool - Teesari Chhori,,Audio5.wav,Cover1.jpg,Shine,King KKR,Nitish Verma,Shine,STAGE,Haryanvi
6,Chhapa Title Track,Chhapa,Audio6.wav,Cover10.jpg,"Somvir Kathurwal
Kavita shobu",APR Muzik Labs,APR Muzik Labs,APR Muzik Labs,STAGE,Haryanvi
7,Dil Yahi Mang Kare,Chhapa,Audio7.wav,Cover10.jpg,Isha Panchal,APR Muzik Labs,APR Muzik Labs,APR Muzik Labs,STAGE,Haryanvi
8,Byah Aali Raat,Shiva Ki Rambhumi,Audio8.wav,Cover11.jpg,Vandna Jangid,Anil Sen,SBM Music,,STAGE,Haryanvi
9,Gandi baat,Shiva Ki Rambhumi,Audio9.wav,Cover11.jpg,"Vandna Jangid , Suren & Namdev",Suraj Sharma,Suraj Sharma,,STAGE,Haryanvi
10,Mera Lutte Chain,Prem Kabootar,Audio10.wav,Cover12.jpg,Vikas Kumar,Pandit Lakhmi Chand,Vikas Kumar,Vikas Kumar,STAGE,Haryanvi
11,Man Bas Ke,Prem Kabootar,Audio11.wav,Cover12.jpg,Raja Julana,Banday Mir,Yogesh Jakhar,Raja Julana,STAGE,Haryanvi
13,Dhadaam Title Track,Dhadaam ,Audio13.wav,Cover13.jpg,Miki Malang,"Ron Likhari, Miki Malang",,Shaitan,STAGE,Haryanvi
14,Bin Mata Ka poot,Dhadaam ,Audio14.wav,Cover13.jpg,Prashant Khairwal,Kabir Dahiya,Sameer Sarwan,"Sameer Sarwan, Prashant Khairwal",STAGE,Haryanvi
16,Jai Jai Mera Haryana,,Audio16.wav,Cover8.jpg,Sandeep Sharma Sahil,Geetu Pari,,Amit Kalwan jind ,STAGE,Haryanvi
17,DC Date,,Audio17.wav,Cover7.jpg,-,-,Ankit Prajapati,Ankit Prajapati,STAGE,Haryanvi
19,Rangeelo Rajasthan,Aao Gaaon Chaala,Audio19.wav,Cover14.jpg,Rahgir,Rahgir,Rahgir,Rahgir,STAGE,Rajasthani
20,Ab To Chhoro Byaano Padsi,Aao Gaaon Chaala,Audio20.wav,Cover14.jpg,Rahgir,Rahgir,Rahgir,Rahgir,STAGE,Rajasthani
21,Mat Byavo Thaanki Chhoti Si,Aao Gaaon Chaala,Audio21.wav,Cover14.jpg,Rahgir,Rahgir,Rahgir,Rahgir,STAGE,Rajasthani
22,Ek din ki dhyan ki,Aao Gaaon Chaala,Audio22.wav,Cover14.jpg,Rahgir,Rahgir,Rahgir,Rahgir,STAGE,Rajasthani
23,Seenv Ab Sarhad Hugi hai,Aao Gaaon Chaala,Audio23.wav,Cover14.jpg,Rahgir,Rahgir,Rahgir,Rahgir,STAGE,Rajasthani
24,Phootra,Sarpanch,Audio24.wav,cover6.jpg,Ruchika Chauhan,Sudarshan Ratnu ,Sudarshan Ratnu,Sudarshan Ratnu,STAGE,Rajasthani
25,Firgya Pheir Nasibo Ra,Sarpanch,Audio25.wav,cover6.jpg,Rahul Ramawat,Sudarshan Ratnu,Sudarshan Ratnu,Sudarshan Ratnu,STAGE,Rajasthani
26,Title Track,Sarpanch,Audio26.wav,cover6.jpg,Harsh Vyas .Collaborating Artist- Pankaj Nimbark ,Sudarshan Ratnu ,Sudarshan Ratnu ,Sudarshan Ratnu ,STAGE,Rajasthani
27,"Mhari Ladkadi
(म्हारी लाडकड़ी)",Shyam Sunder Paliwal,Audio27.wav,Cover5.jpg,Harmaan Nazim ,Dr Shakuntala Sarupariya,Babli Haque,Babli Haque,STAGE,Rajasthani
28,Jag Jhukela,Shyam Sunder Paliwal,Pendig Access,Cover5.jpg,Harman Nazim ,Dr Shakuntala Sarupariya,Babli Haque,Babli Haque,STAGE,Rajasthani
29,Reta Ra Dhora Su Aai (Dhola Maru) ,Kathputliyaan ,Audio29.wav,Cover4.jpg,"Purushttom Ranawat, Lucky Singh, Sandeep Soni",Meena Sharma,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
30,Dube So Bole Nahi (Dhola Maru),Kathputliyaan ,Audio30.wav,Cover4.jpg,"Purushttom Ranawat, Nutan Choouhan, Sandeep Soni",Meena Sharma,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
31,Harakh Harakh Narvar Nar Nari (Dhola Maru) ,Kathputliyaan ,Audio31.wav,Cover4.jpg,"Purushttom Ranawat, Nutan Choouhan, Sandeep Soni",Shobha Chander Pareek,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
32,Dhola Thari Yaad Satawe (Dhola Maru) ,Kathputliyaan ,Audio32.wav,Cover4.jpg,"Triveni Kumawat, Sandeep Soni, ",Shobha Chander Pareek,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
33,Marvan Ro Dukhdo Nahi Mhasyu Dekhyo Jaye (Dhola Maru) ,Kathputliyaan ,Audio33.wav,Cover4.jpg,"Purushttom Ranawat, Sandeep Soni",Shobha Chander Pareek,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
34,Ab Ki Baar Raja Nal Karyo Nayo Upaay (Dhola Maru) ,Kathputliyaan ,Audio34.wav,Cover4.jpg,"Purushttom Ranawat, Sandeep Soni",Shobha Chander Pareek,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
35,Ankhadiya Damder Bhaee (Dhola Maru) ,Kathputliyaan ,Audio35.wav,Cover4.jpg,"Triveni Kumawat, Devendra Ranawat, Sandeep Soni ",Shobha Chander Pareek,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
36,Maaru Thari Yaad Sataawe (Dhola Maru),Kathputliyaan ,Audio36.wav,Cover4.jpg,"Lucky Singh, Sandeep Soni ",Shobha Chander Pareek,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
37,Lakh Upaay Karya Maalvani (Dhola Maru) ,Kathputliyaan ,Audio37.wav,Cover4.jpg,"Purushttom Ranawat, Nutan Choouhan, Sandeep Soni",Shobha Chander Pareek,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
38,Maaru Thare Saath Me Ghat Whay Rahi Bhari (Dhola Maru) ,Kathputliyaan ,Audio38.wav,Cover4.jpg,"Purushttom Ranawat, Nutan Choouhan, Sandeep Soni",Shobha Chander Pareek,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
39,Dhoko Moto Sahiba (Dhola Maru) ,Kathputliyaan ,Audio39.wav,Cover4.jpg,"Triveni Kumawat, Devendra Ranawat, Sandeep Soni ",Shobha Chander Pareek,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
40,Marvan mahlan utari kar sola singar (Dhola Maru) ,Kathputliyaan ,Audio40.wav,Cover4.jpg,"Nutan Chouhan, Sandeep Soni ",Shobha Chander Pareek,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
41,Kathputli Re Kathputli (Dhola Maru) ,Kathputliyaan ,Audio41.wav,Cover4.jpg,"Nutan Chouhan, Sandeep Soni ",Meena Sharma,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
42,Aaj Batlawan Sabne Bhuli Bisri  Ek Kahani (Hadi Rani) ,Kathputliyaan ,Audio42.wav,Cover4.jpg,"Purushttom Ranawat, Nutan Choouhan, Sandeep Soni","Bal Mukund Sevda, Shobha Chander Pareek",Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
43,Beti Jalme Baap Ghar (Hadi Rani) ,Kathputliyaan ,Audio43.wav,Cover4.jpg,"Purushttom Ranawat, Nutan Choouhan, Sandeep Soni",Shobha Chander Pareek,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
44,Suraj Thara Tej Ne Sumre Sab Sansar (Hadi Rani),Kathputliyaan ,Audio44.wav,Cover4.jpg,"Triveni Kumawat, Sandeep Soni",Bal Mukund Sevda,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
45,Pirya Mhane Bhejo Ri Senani (Hadi Rani) ,Kathputliyaan ,Audio45.wav,Cover4.jpg,"Lucky Singh Ranawat, Sandeep Soni",Shobha Chander Pareek,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
46,Piyaji Thane Bhej Rahi Senani (Hadi Rani) ,Kathputliyaan ,Audio46.wav,Cover4.jpg,"Triveni Kumawat, Sandeep Soni",Shobha Chander Pareek,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
47,Mund Dekh Hadi Rani Ko (Hadi Rani) ,Kathputliyaan ,Audio47.wav,Cover4.jpg,"Purushttom Ranawat, Nutan Choouhan, Sandeep Soni",Shobha Chander Pareek,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
48,Tu Hi Mharo Bhartaar (Mahendra Mumal) ,Kathputliyaan ,Audio48.wav,Cover4.jpg,"Nutan Chouhan, Sandeep Soni ",Shobha Chander Pareek,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
49,Aaj Thane Sunawa Gatha Mahendra Mumal Ri (Mahendra Mumal ) ,Kathputliyaan ,Audio49.wav,Cover4.jpg,"Purushttom Ranawat, Nutan Choouhan, Sandeep Soni",Shobha Chander Pareek,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
50,Lodarwa Ki Rajkumari (Mahendra Mumal),Kathputliyaan ,Audio50.wav,Cover4.jpg,"Triveni Kumawat, Nutan Choouhan, Sandeep Soni",Shobha Chander Pareek,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
51,Mad Pyala Sa Bhara Huveda (Mahendra Mumal) ,Kathputliyaan ,Audio51.wav,Cover4.jpg,"Purushottam Ranawat, Sandeep Soni ",Shobha Chander Pareek,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
52,Hono Kai Ho Are Mhari Mishri (Mahendra Mumal) ,Kathputliyaan ,Audio52.wav,Cover4.jpg,"Purushottam Ranawat, Sandeep Soni ",Shobha Chander Pareek,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
53,O Mand Desh Ri Mumal (Mahendra Mumal) ,Kathputliyaan ,Audio53.wav,Cover4.jpg,"Lucky Singh Ranawat, Sandeep Soni",Shobha Chander Pareek,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
54,Bindni Samjho The Thodi Si Ya Baat (Mahendra Mumal ) ,Kathputliyaan ,Audio54.wav,Cover4.jpg,"Nutan Choouhan,Triveni Kumawat, Purushttom Ranawat",Shobha Chander Pareek,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
55,Tutya Mhara Sagla Supna (Mahendra Mumal) ,Kathputliyaan ,Audio55.wav,Cover4.jpg,"Lucky Singh Ranawat, Sandeep Soni",Shobha Chander Pareek,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
56,Thare Bin Sodha Rana (Mahendra Mumal) ,Kathputliyaan ,Audio56.wav,Cover4.jpg,"Devendra Singh Ranawat,Nutan Choouhan,Sandeep Soni",Shobha Chander Pareek,Sandeep Soni,Sandeep Soni,STAGE,Rajasthani
