Audio_File,Song_Name,Album_Name,Language
Audio70.wav,Banno Rani ke Haldi Lagawam Sakhi,Naache Dulha Gali Gali,Bhojpuri
Audio71.wav,Tu Aage Aage Chalelu Dil Pichhe Pichhe,Naache Dulha Gali Gali,Bhojpuri
Audio72.wav,Ab ta Nindiyo na Aawta raat me,Naache Dulha Gali Gali,Bhojpuri
Audio73.wav,Jahan Dekhi Tahan Tuhi Aawelu Nazar,Naache Dulha Gali Gali,Bhojpuri
Audio74.wav,Jee Na Paayib Tohra Bin,Naache Dulha Gali Gali,Bhojpuri
Audio75.wav,Akhiya Mei Basal,Naache Dulha Gali Gali,Bhojpuri
Audio76.wav,Garmi Utar Deb,Saas Gaari Deve,Bhojpuri
Audio77.wav,Looking Wow,Saas Gaari Deve,Bhojpuri
Audio78.wav,Gauna Re,Saas Gaari Deve,Bhojpuri
Audio79.wav,Saas Gaari Deve,Saas Gaari Deve,Bhojpuri
Audio80.wav,Ankhiya Se,Singles,Bhojpuri
Audio81.wav,Balamua Chunale Bani,Jholachhap Dr,Bhojpuri
Audio82.wav,Baji Marela,Jholachhap Dr,Bhojpuri
Audio83.wav,Nwa Nwa Pyaar,Jholachhap Dr,Bhojpuri
Audio84.wav,Sagaro Mati Ho Gail,Jholachhap Dr,Bhojpuri
Audio85.wav,Mai Se Mila Da Hey Chhathi Mai,Laadli Chhathi Mai Ke,Bhojpuri
Audio87.wav,Mere Bholenaath,Singles,Bhojpuri
Audio88.wav,Sun la Arajiya Hamar Chhathi Maiya,Punarjanm - Janm ke Phera,Bhojpuri
